;Buy Volume  (MWh);Sell Volume  (MWh);Volume  (MWh);Price  (€/MWh)
2020-04-24 00:00:00;2969.2;2969.2;2969.2;23.76
2020-04-24 01:00:00;2908.2;2908.2;2908.2;22.57
2020-04-24 02:00:00;2962.7;2962.7;2962.7;21.24
2020-04-24 03:00:00;3161.7;3161.7;3161.7;20.47
2020-04-24 04:00:00;3217.1;3217.1;3217.1;20.54
2020-04-24 05:00:00;3045.6;3045.6;3045.6;21.39
2020-04-24 06:00:00;4288.1;4288.1;4288.1;26.11
2020-04-24 07:00:00;3778.7;3778.7;3778.7;24.62
2020-04-24 08:00:00;4312.4;4312.4;4312.4;26.56
2020-04-24 09:00:00;3335.8;3335.8;3335.8;22.03
2020-04-24 10:00:00;3101.1;3101.1;3101.1;16.06
2020-04-24 11:00:00;2864.4;2864.4;2864.4;14.05
2020-04-24 12:00:00;3052.6;3052.6;3052.6;12.76
2020-04-24 13:00:00;3218.6;3218.6;3218.6;9.04
2020-04-24 14:00:00;3658.8;3658.8;3658.8;5.1
2020-04-24 15:00:00;3620.8;3620.8;3620.8;4.3
2020-04-24 16:00:00;3421.6;3421.6;3421.6;7.04
2020-04-24 17:00:00;3504.1;3504.1;3504.1;12.31
2020-04-24 18:00:00;3311.2;3311.2;3311.2;15.61
2020-04-24 19:00:00;3628.3;3628.3;3628.3;20.26
2020-04-24 20:00:00;3910.2;3910.2;3910.2;21.03
2020-04-24 21:00:00;3364.2;3364.2;3364.2;19.7
2020-04-24 22:00:00;3127.7;3127.7;3127.7;18.47
2020-04-24 23:00:00;2888.0;2888.0;2888.0;16.7
2020-04-25 00:00:00;2165.9;2165.9;2165.9;14.96
2020-04-25 01:00:00;2267.2;2267.2;2267.2;14.13
2020-04-25 02:00:00;2474.0;2474.0;2474.0;13.34
2020-04-25 03:00:00;2534.8;2534.8;2534.8;12.94
2020-04-25 04:00:00;2604.2;2604.2;2604.2;12.4
2020-04-25 05:00:00;2351.4;2351.4;2351.4;13.04
2020-04-25 06:00:00;2493.5;2493.5;2493.5;14.67
2020-04-25 07:00:00;3374.3;3374.3;3374.3;18.0
2020-04-25 08:00:00;3283.6;3283.6;3283.6;19.57
2020-04-25 09:00:00;2717.6;2717.6;2717.6;16.22
2020-04-25 10:00:00;2393.6;2393.6;2393.6;13.47
2020-04-25 11:00:00;2306.0;2306.0;2306.0;12.9
2020-04-25 12:00:00;2458.5;2458.5;2458.5;11.92
2020-04-25 13:00:00;2477.2;2477.2;2477.2;9.59
2020-04-25 14:00:00;2732.4;2732.4;2732.4;8.02
2020-04-25 15:00:00;2417.7;2417.7;2417.7;9.08
2020-04-25 16:00:00;3223.4;3223.4;3223.4;13.76
2020-04-25 17:00:00;3056.9;3056.9;3056.9;19.25
2020-04-25 18:00:00;3760.9;3760.9;3760.9;21.57
2020-04-25 19:00:00;3904.9;3904.9;3904.9;21.12
2020-04-25 20:00:00;4246.8;4246.8;4246.8;21.96
2020-04-25 21:00:00;4262.9;4262.9;4262.9;22.39
