;Buy Volume  (MWh);Sell Volume  (MWh);Volume  (MWh);Price  (€/MWh)
2020-04-24 00:00:00;4583.7;9073.9;9073.9;23.87
2020-04-24 01:00:00;4439.4;9836.4;9836.4;21.63
2020-04-24 02:00:00;4268.8;10475.3;10475.3;20.65
2020-04-24 03:00:00;4067.4;11637.1;11637.1;18.69
2020-04-24 04:00:00;4173.3;12575.7;12575.7;17.01
2020-04-24 05:00:00;4663.1;12512.5;12512.5;16.57
2020-04-24 06:00:00;5031.9;11528.3;11528.3;19.18
2020-04-24 07:00:00;5139.5;10886.0;10886.0;20.52
2020-04-24 08:00:00;6187.8;11210.1;11210.1;21.09
2020-04-24 09:00:00;6096.5;11738.8;11738.8;21.84
2020-04-24 10:00:00;5839.6;11476.2;11476.2;20.0
2020-04-24 11:00:00;8483.1;12998.4;12998.4;18.45
2020-04-24 12:00:00;9654.6;12891.9;12891.9;16.15
2020-04-24 13:00:00;9714.9;13045.5;13045.5;14.55
2020-04-24 14:00:00;11667.3;13231.2;13231.2;12.02
2020-04-24 15:00:00;10381.3;13341.1;13341.1;10.0
2020-04-24 16:00:00;8777.8;13907.6;13907.6;11.81
2020-04-24 17:00:00;6662.7;13281.3;13281.3;15.62
2020-04-24 18:00:00;5782.8;12410.5;12410.5;19.97
2020-04-24 19:00:00;6036.7;12197.2;12197.2;20.44
2020-04-24 20:00:00;4879.3;11119.1;11119.1;22.5
2020-04-24 21:00:00;4487.9;10307.5;10307.5;23.08
2020-04-24 22:00:00;4518.2;9310.1;9310.1;23.0
2020-04-24 23:00:00;6047.2;8594.4;8594.4;20.52
2020-04-25 00:00:00;8246.6;10791.7;10791.7;16.25
2020-04-25 01:00:00;7937.8;10764.5;10764.5;15.0
2020-04-25 02:00:00;6826.3;10255.4;10255.4;15.59
2020-04-25 03:00:00;6018.5;10700.8;10700.8;14.42
2020-04-25 04:00:00;4822.5;10952.4;10952.4;14.48
2020-04-25 05:00:00;4205.7;10969.2;10969.2;14.03
2020-04-25 06:00:00;4721.4;11085.5;11085.5;14.0
2020-04-25 07:00:00;5470.5;11311.2;11311.2;15.09
2020-04-25 08:00:00;5773.2;11484.0;11484.0;14.17
2020-04-25 09:00:00;6658.5;12219.9;12219.9;16.6
2020-04-25 10:00:00;8334.0;13009.7;13009.7;16.03
2020-04-25 11:00:00;10058.1;13936.9;13936.9;16.3
2020-04-25 12:00:00;12793.6;14107.6;14107.6;15.08
2020-04-25 13:00:00;13141.6;14297.1;14297.1;12.25
2020-04-25 14:00:00;12690.4;13508.8;13508.8;7.76
2020-04-25 15:00:00;11501.7;13572.2;13572.2;7.99
2020-04-25 16:00:00;9330.5;13949.4;13949.4;10.07
2020-04-25 17:00:00;7146.5;12925.4;12925.4;13.3
2020-04-25 18:00:00;7328.5;12645.0;12645.0;16.21
2020-04-25 19:00:00;6399.0;11471.9;11471.9;19.53
2020-04-25 20:00:00;5732.2;11206.3;11206.3;20.51
2020-04-25 21:00:00;5350.1;11599.2;11599.2;22.7
2020-04-25 22:00:00;6790.2;11791.0;11791.0;22.65
2020-04-25 23:00:00;6980.7;11477.0;11477.0;21.23
2020-04-26 00:00:00;4319.9;10365.7;10365.7;16.23
2020-04-26 01:00:00;4602.8;10487.2;10487.2;15.76
2020-04-26 02:00:00;6371.2;11871.4;11871.4;14.55
2020-04-26 03:00:00;6216.8;12458.6;12458.6;12.42
2020-04-26 04:00:00;6137.7;13263.3;13263.3;11.92
2020-04-26 05:00:00;6181.7;13890.8;13890.8;11.8
2020-04-26 06:00:00;6519.5;14265.1;14265.1;12.0
2020-04-26 07:00:00;6516.0;13748.8;13748.8;11.99
2020-04-26 08:00:00;6838.5;12186.2;12186.2;12.12
2020-04-26 09:00:00;6486.4;11558.4;11558.4;12.42
2020-04-26 10:00:00;7754.7;12109.0;12109.0;13.0
2020-04-26 11:00:00;9519.6;12969.5;12969.5;14.38
2020-04-26 12:00:00;10586.5;13687.4;13687.4;15.0
2020-04-26 13:00:00;12492.8;14416.2;14416.2;11.9
2020-04-26 14:00:00;11905.5;14615.7;14615.7;5.56
2020-04-26 15:00:00;9600.7;14228.0;14228.0;6.93
2020-04-26 16:00:00;7245.7;13374.9;13374.9;12.42
2020-04-26 17:00:00;6485.4;12361.0;12361.0;12.42
2020-04-26 18:00:00;6658.6;10490.7;10490.7;14.0
2020-04-26 19:00:00;5931.5;9135.9;9135.9;17.07
2020-04-26 20:00:00;4839.7;9675.8;9675.8;19.46
2020-04-26 21:00:00;4587.4;9761.4;9761.4;24.1
2020-04-26 22:00:00;4537.7;8595.3;8595.3;25.15
2020-04-26 23:00:00;4631.7;7632.5;7632.5;23.76
2020-04-27 00:00:00;8246.6;10791.7;10791.7;16.25
2020-04-27 01:00:00;7937.8;10764.5;10764.5;15.0
2020-04-27 02:00:00;6826.3;10255.4;10255.4;15.59
2020-04-27 03:00:00;6018.5;10700.8;10700.8;14.42
2020-04-27 04:00:00;4822.5;10952.4;10952.4;14.48
2020-04-27 05:00:00;4205.7;10969.2;10969.2;14.03
2020-04-27 06:00:00;4721.4;11085.5;11085.5;14.0
2020-04-27 07:00:00;5470.5;11311.2;11311.2;15.09
2020-04-27 08:00:00;5773.2;11484.0;11484.0;14.17
2020-04-27 09:00:00;6658.5;12219.9;12219.9;16.6
2020-04-27 10:00:00;8334.0;13009.7;13009.7;16.03
2020-04-27 11:00:00;10058.1;13936.9;13936.9;16.3
2020-04-27 12:00:00;12793.6;14107.6;14107.6;15.08
2020-04-27 13:00:00;13141.6;14297.1;14297.1;12.25
2020-04-27 14:00:00;12690.4;13508.8;13508.8;7.76
2020-04-27 15:00:00;11501.7;13572.2;13572.2;7.99
2020-04-27 16:00:00;9330.5;13949.4;13949.4;10.07
2020-04-27 17:00:00;7146.5;12925.4;12925.4;13.3
2020-04-27 18:00:00;7328.5;12645.0;12645.0;16.21
2020-04-27 19:00:00;6399.0;11471.9;11471.9;19.53
2020-04-27 20:00:00;5732.2;11206.3;11206.3;20.51
2020-04-27 21:00:00;5350.1;11599.2;11599.2;22.7
2020-04-27 22:00:00;6790.2;11791.0;11791.0;22.65
2020-04-27 23:00:00;6980.7;11477.0;11477.0;21.23
